Repair Level,﻿height,weight,shootCatch,pos,birthCountry,MarjorAwards,AllStarTeams,TotalPts,TotalGoals,TotalPtsPost,TotalGoalsPost,TotalGWG,TotalGWGPost
0.0,0.8112903225806452,0.8112903225806452,0.8112903225806452,0.8112903225806452,0.8112903225806452,0.8112903225806452,0.8112903225806452,0.8112903225806452,0.8112903225806452,0.8112903225806452,0.8112903225806452,0.8112903225806452,0.8112903225806452
0.1,0.7892228739002932,0.7708455522971652,0.8191348973607038,0.7718230694037146,0.7556451612903226,0.7789345063538612,0.7703567937438905,0.7872678396871945,0.7789345063538612,0.8125122189638319,0.7632453567937438,0.8252688172043011,0.7872678396871945
0.2,0.6737781036168133,0.6889784946236559,0.8274682306940372,0.6892228739002932,0.672800586510264,0.7380009775171066,0.6818670576735093,0.7061339198435972,0.664711632453568,0.7218230694037145,0.6313782991202346,0.7438905180840665,0.7311339198435973
0.30000000000000004,0.6,0.6566226783968719,0.8196236559139785,0.6480449657869013,0.6323558162267839,0.7382453567937439,0.6737781036168133,0.6397116324535679,0.625,0.6554007820136852,0.599266862170088,0.7252688172043011,0.6644672531769307
0.4,0.5830889540566959,0.5826001955034212,0.8019794721407625,0.613978494623656,0.608088954056696,0.7299120234604106,0.623533724340176,0.6404447702834799,0.591177908113392,0.6318670576735093,0.5914222873900293,0.7162267839687195,0.6071114369501467
0.5,0.5416666666666667,0.566177908113392,0.8179130009775171,0.5732893450635386,0.5914222873900293,0.7362903225806452,0.5909335288367547,0.5740224828934506,0.5497556207233627,0.5656891495601173,0.5409335288367547,0.6963831867057674,0.5902003910068426
0.6,0.5166666666666666,0.525,0.7777126099706745,0.5495112414467254,0.5583333333333333,0.7321358748778104,0.5497556207233627,0.5411779081133921,0.5166666666666666,0.5414222873900294,0.49902248289345064,0.6733626588465298,0.557355816226784
0.7,0.5,0.5083333333333333,0.7769794721407625,0.5247556207233627,0.525,0.7137829912023461,0.5245112414467253,0.5247556207233627,0.5166666666666666,0.5083333333333333,0.5078445747800586,0.6474095796676442,0.533088954056696
0.7999999999999999,0.5,0.5,0.7593352883675464,0.5166666666666666,0.5,0.7315004887585532,0.5495112414467254,0.5083333333333333,0.5083333333333333,0.5,0.5078445747800586,0.6273460410557185,0.525
0.8999999999999999,0.5,0.5,0.750268817204301,0.5,0.5,0.5041055718475074,0.5083333333333333,0.5,0.5166666666666666,0.5,0.49975562072336266,0.6369257086999023,0.5078445747800586
0.9999999999999999,0.5,0.5,0.7843352883675464,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.46815738025415443,0.5
