Repair Level,﻿height,weight,shootCatch,pos,birthCountry,MarjorAwards,AllStarTeams,TotalPts,TotalGoals,TotalPtsPost,TotalGoalsPost,TotalGWG,TotalGWGPost
0.0,0.7894916911045944,0.7894916911045944,0.7894916911045944,0.7894916911045944,0.7894916911045944,0.7894916911045944,0.7894916911045944,0.7894916911045944,0.7894916911045944,0.7894916911045944,0.7894916911045944,0.7894916911045944,0.7894916911045944
0.1,0.7443792766373412,0.7348240469208212,0.7978250244379277,0.7350684261974585,0.7279569892473119,0.7919354838709678,0.7764907135874878,0.8074291300097751,0.8095796676441838,0.7772238514173998,0.8007575757575758,0.8206256109481916,0.8090909090909091
0.2,0.6948680351906158,0.6703567937438906,0.8056695992179863,0.6534457478005865,0.6622678396871946,0.730156402737048,0.7382453567937439,0.7224584555229716,0.7286901270772239,0.7056451612903225,0.7306451612903226,0.7559384164222873,0.7554007820136852
0.30000000000000004,0.6463343108504399,0.6536901270772238,0.796603128054741,0.6615347018572826,0.6627565982404693,0.7120234604105572,0.6269794721407624,0.3731182795698924,0.6617790811339199,0.6644672531769307,0.6558895405669599,0.6991935483870968,0.6801564027370479
0.4,0.6392228739002932,0.6056451612903226,0.797336265884653,0.6137341153470186,0.6301564027370479,0.6867790811339198,0.5774682306940371,0.34491691104594335,0.6794232649071359,0.6316226783968719,0.6149560117302053,0.6325024437927664,0.664711632453568
0.5,0.56544477028348,0.5894672531769306,0.7968475073313783,0.5880009775171066,0.5806451612903225,0.6470674486803519,0.5843352883675464,0.298533724340176,0.5706011730205278,0.5571114369501466,0.5328445747800586,0.6660557184750733,0.5495112414467254
0.6,0.47998533724340176,0.5737781036168133,0.781158357771261,0.5880009775171066,0.5970674486803519,0.6946236559139785,0.5086021505376344,0.5978005865102639,0.5995112414467253,0.5578445747800587,0.5411779081133921,0.6778103616813294,0.5247556207233627
0.7,0.26620234604105575,0.54044477028348,0.7747800586510264,0.5708455522971652,0.538245356793744,0.6769794721407625,0.49415933528836753,0.5811339198435972,0.548533724340176,0.525,0.5166666666666666,0.628763440860215,0.49975562072336266
0.7999999999999999,0.2735581622678397,0.508088954056696,0.774535679374389,0.5387341153470186,0.5558895405669599,0.7760263929618768,0.5061339198435972,0.6071114369501467,0.5245112414467253,0.508088954056696,0.5,0.7244868035190616,0.5164222873900293
0.8999999999999999,0.24684750733137828,0.5164222873900293,0.7483137829912023,0.5,0.556622678396872,0.4906402737047898,0.5068670576735093,0.5828445747800586,0.5161779081133919,0.5,0.5,0.5077956989247312,0.5083333333333333
0.9999999999999999,0.5,0.5,0.7500244379276637,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
