Repair Level,﻿SUBURB,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST
0.0,0.6210710128055879,0.6210710128055879,0.6210710128055879,0.6210710128055879,0.6210710128055879,0.6210710128055879,0.6210710128055879,0.6210710128055879,0.6210710128055879,0.6210710128055879,0.6210710128055879,0.6210710128055879,0.6210710128055879,0.6210710128055879,0.6210710128055879
0.1,0.6059371362048894,0.610011641443539,0.6082654249126892,0.5966239813736903,0.5814901047729919,0.6076833527357393,0.6006984866123399,0.5890570430733411,0.6012805587892899,0.5657741559953434,0.5948777648428405,0.5884749708963911,0.610011641443539,0.60011641443539,0.5791618160651921
0.2,0.5587892898719441,0.5989522700814901,0.5459837019790454,0.5430733410942957,0.5116414435389989,0.5442374854481956,0.5750873108265425,0.5552968568102444,0.5657741559953434,0.4970896391152503,0.5721769499417928,0.5442374854481956,0.5686845168800931,0.5564610011641443,0.49825378346915017
0.30000000000000004,0.519208381839348,0.5867287543655413,0.46740395809080326,0.48253783469150174,0.4435389988358556,0.49941792782305006,0.5291036088474971,0.5261932479627474,0.5058207217694994,0.45052386495925495,0.5395809080325961,0.5005820721769499,0.5273573923166472,0.509895227008149,0.4307334109429569
0.4,0.4575087310826543,0.5494761350407451,0.3969732246798603,0.4266589057043073,0.3894062863795111,0.4575087310826543,0.4807916181606519,0.5046565774155995,0.46565774155995343,0.3958090803259604,0.5133876600698487,0.45459837019790456,0.4767171129220023,0.45343422584400467,0.4161816065192084
0.5,0.42607683352735737,0.5349243306169965,0.36554132712456344,0.3562281722933644,0.37543655413271243,0.40686845168800934,0.4417927823050058,0.46565774155995343,0.4074505238649593,0.37252619324796277,0.48137369033760186,0.42840512223515714,0.4528521536670547,0.4086146682188591,0.39639115250291035
0.6,0.35564610011641445,0.5029103608847497,0.36321303841676367,0.29452852153667053,0.3480791618160652,0.309662398137369,0.4126891734575087,0.4417927823050058,0.39988358556461,0.34225844004656575,0.4481955762514552,0.40046565774155995,0.4342258440046566,0.3760186263096624,0.3719441210710128
0.7,0.30908032596041907,0.4732246798603027,0.3480791618160652,0.279976717112922,0.3160651920838184,0.2828870779976717,0.3480791618160652,0.3620488940628638,0.36845168800931316,0.3358556461001164,0.4289871944121071,0.40162980209545984,0.4080325960419092,0.3230500582072177,0.3661233993015134
0.7999999999999999,0.2852153667054715,0.4417927823050058,0.2968568102444703,0.25261932479627475,0.3224679860302678,0.2968568102444703,0.2852153667054715,0.35564610011641445,0.34866123399301513,0.31955762514551805,0.4022118742724098,0.3853317811408615,0.40686845168800934,0.2788125727590221,0.3469150174621653
0.8999999999999999,0.2607683352735739,0.43131548311990686,0.2648428405122235,0.24970896391152503,0.30908032596041907,0.28055878928987193,0.2892898719441211,0.33876600698486614,0.31024447031431895,0.2543655413271246,0.36845168800931316,0.37951105937136204,0.38649592549476136,0.2869615832363213,0.3149010477299185
0.9999999999999999,0.25261932479627475,0.4383003492433062,0.23864959254947612,0.23806752037252618,0.23108265424912688,0.25552968568102447,0.25552968568102447,0.33760186263096625,0.25261932479627475,0.25261932479627475,0.3573923166472643,0.3672875436554133,0.3742724097788126,0.25552968568102447,0.25261932479627475
