Repair Level,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence,property_magnitude,age,age_cat,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
0.0,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415,0.6318685865607415
0.1,0.6249586229725257,0.6249586229725257,0.620572658060245,0.5959947037404832,0.6173866269447204,0.6249586229725257,0.6315375703409467,0.6183796756041047,0.6155246607083747,0.6387785501489573,0.6202416418404502,0.6268205892088712,0.6013737173121483,0.620572658060245,0.6318685865607415,0.6315375703409467,0.6199106256206555,0.6108076795762993,0.6296756041046012,0.6296756041046012,0.6268205892088712
0.2,0.6242965905329361,0.5969877523998677,0.6180486593843099,0.6148626282687852,0.6155246607083747,0.611138695796094,0.6249586229725257,0.6252896391923204,0.5872227739159219,0.6180486593843099,0.6199106256206555,0.6268205892088712,0.6195796094008607,0.6340615690168818,0.6271516054286661,0.6183796756041047,0.6151936444885799,0.6126696458126448,0.6155246607083747,0.6158556769281696,0.6340615690168818
0.30000000000000004,0.5811817279046674,0.5988497186362132,0.620572658060245,0.5985187024164184,0.5934707050645481,0.6038977159880834,0.6252896391923204,0.6092767295597484,0.5894157563720622,0.6296756041046012,0.6293445878848064,0.6268205892088712,0.5767957629923866,0.6224346242965906,0.6133316782522344,0.6195796094008607,0.5815127441244621,0.6038977159880834,0.6108076795762993,0.6202416418404502,0.6010427010923536
0.4,0.5938017212843429,0.6032356835484939,0.6230966567361801,0.5796507778881165,0.5818437603442568,0.5966567361800729,0.6086146971201589,0.6281446540880503,0.6123386295928501,0.6278136378682555,0.6060906984442238,0.6104766633565045,0.5648378020523006,0.6300066203243959,0.6227656405163853,0.6359235352532274,0.5887537239324727,0.6155246607083747,0.6173866269447204,0.6089457133399536,0.6126696458126448
0.5,0.6050976497848395,0.6054286660046342,0.6183796756041047,0.6000496524329693,0.5966567361800729,0.6104766633565045,0.6333995365772923,0.6234276729559749,0.5941327375041376,0.6183796756041047,0.6101456471367097,0.6387785501489573,0.5368669314796425,0.6227656405163853,0.6133316782522344,0.6242965905329361,0.6022426348891096,0.5966567361800729,0.6202416418404502,0.6183796756041047,0.6060906984442238
0.6,0.5676928169480304,0.5648378020523006,0.6158556769281696,0.5545349222111884,0.5856918238993711,0.5781198278715657,0.6151936444885799,0.6070837471036081,0.5934707050645481,0.5969877523998677,0.5828368090036411,0.6151936444885799,0.5346739490235022,0.6463505461767627,0.6067527308838133,0.6221036080767958,0.5623138033763655,0.6086146971201589,0.6242965905329361,0.6293445878848064,0.5966567361800729
0.7,0.5601208209202251,0.5459698775239987,0.6089457133399536,0.5353359814630917,0.5941327375041376,0.605759682224429,0.5963257199602781,0.6187106918238994,0.5837057265806025,0.6114697120158887,0.5781198278715657,0.6180486593843099,0.5314879179079774,0.6271516054286661,0.6082836809003642,0.6151936444885799,0.5717477656405163,0.6133316782522344,0.5900777888116517,0.6343925852366766,0.5956636875206884
0.7999999999999999,0.5456388613042039,0.5569347898047003,0.6183796756041047,0.5767957629923866,0.5488248924197285,0.5664928831512743,0.6130006620324396,0.6300066203243959,0.5623138033763655,0.6143247269116188,0.605759682224429,0.6261585567692818,0.5220539556438266,0.611138695796094,0.6035666997682887,0.5966567361800729,0.5405908639523336,0.5922707712677922,0.5868917576961271,0.5995117510758028,0.609814630916915
0.8999999999999999,0.5289639192320423,0.5358738828202582,0.6114697120158887,0.5771267792121814,0.5400529625951671,0.5890847401522674,0.6293445878848064,0.5932638199271765,0.5739407480966567,0.6256206554121152,0.6108076795762993,0.6202416418404502,0.5264399205561072,0.6070837471036081,0.6224346242965906,0.6007116848725587,0.5122889771598809,0.5995117510758028,0.5959947037404832,0.6183796756041047,0.5912777226084078
0.9999999999999999,0.5144819596160212,0.5195299569678914,0.5809748427672956,0.5491559086395233,0.5476249586229724,0.5545349222111884,0.6054286660046342,0.6230966567361801,0.5437768950678583,0.6300066203243959,0.5912777226084078,0.6406405163853028,0.5217229394240317,0.6092767295597484,0.6340615690168818,0.6214415756372063,0.5402598477325389,0.6054286660046342,0.56835484938762,0.620572658060245,0.5818437603442568
