Repair Level,﻿Gender,Age_at_diagonsis,Primary_Diagnosis,Race,IDH1,TP53,ATRX,PTEN,EGFR,CIC,MUC16,PIK3CA,NF1,PIK3R1,FUBP1,RB1,NOTCH1,BCOR,CSMD3,SMARCA4,GRIN2A,IDH2,FAT4,PDGFRA
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.1,0.9867084826762246,0.9579848665870171,0.9660493827160493,0.9753086419753086,0.9838709677419355,0.9826762246117084,0.9724711270410196,0.9876543209876543,0.979589804858622,0.9625149342891278,0.9867084826762246,0.9876543209876543,0.9805356431700518,0.9836220629231381,0.9807845479888491,0.9712763839107925,0.9596774193548387,0.9836220629231381,0.9755575467941059,0.9705794504181601,0.9753086419753086,0.9686877737953007,0.9681899641577061,0.9814814814814815
0.2,0.9755575467941059,0.9548984468339307,0.9382716049382716,0.9722222222222222,0.9807845479888491,0.9817303863002788,0.9504181600955794,0.9691358024691358,0.9589307048984468,0.9160195141377937,0.9783950617283951,0.9805356431700518,0.9783950617283951,0.9753086419753086,0.915073675826364,0.962962962962963,0.9342891278375149,0.9625149342891278,0.9817303863002788,0.937126642771804,0.9598765432098766,0.9364297092791717,0.9651035444046197,0.962962962962963
0.30000000000000004,0.9774492234169654,0.9344882516925528,0.8888888888888888,0.9589307048984468,0.957536837913182,0.9684388689765033,0.9269215452011151,0.9558442851453605,0.9722222222222222,0.8977499004380725,0.9814814814814815,0.952757865392274,0.952757865392274,0.9845679012345679,0.8989446435682995,0.9320987654320988,0.8908801274392673,0.9414078056551175,0.9482775786539227,0.8975009956192752,0.9537037037037037,0.8837614496216647,0.9722222222222222,0.9382716049382716
0.4,0.955147351652728,0.9088510553564317,0.8827160493827161,0.9537037037037037,0.9442453205894066,0.9511150935882119,0.9005874153723616,0.9302070888092393,0.9620171246515332,0.8574273197929112,0.9783950617283951,0.9598765432098766,0.9342393468737555,0.962962962962963,0.8310931899641577,0.9074074074074074,0.8778375149342892,0.9262246117084827,0.9399641577060932,0.860015929908403,0.9033751493428913,0.8220828355236958,0.9382716049382716,0.9259259259259259
0.5,0.9622660294703306,0.8851055356431701,0.8364197530864197,0.9404121863799283,0.9131819992035046,0.9356829948227798,0.9017821585025886,0.8863002787733971,0.9406610911987257,0.8453305455993628,0.9558442851453605,0.9373257666268419,0.9178614097968937,0.9465850258861012,0.7843488649940262,0.8919753086419753,0.8496117084826762,0.9131819992035046,0.9430505774591796,0.8256172839506173,0.8796296296296297,0.8071485463958582,0.9373257666268419,0.8827160493827161
0.6,0.944942254082039,0.8699223416965353,0.8024691358024691,0.941358024691358,0.8877937076861808,0.9276184786937475,0.857178414974114,0.859468339307049,0.8943647949024294,0.7815113500597372,0.9589307048984468,0.9351851851851852,0.9200019912385504,0.9188072481083234,0.7319295101553166,0.8694245320589407,0.7587614496216647,0.8859020310633214,0.9309538032656313,0.8014237355635205,0.8580246913580247,0.8071485463958582,0.9249800876144962,0.8570788530465949
0.7,0.9397152528872958,0.8352747909199523,0.691358024691358,0.9095479888490641,0.83915770609319,0.9164675428116289,0.807347670250896,0.8316905615292712,0.8869972122660295,0.716995221027479,0.9548984468339307,0.9280665073675827,0.8972023098367184,0.9271206690561529,0.735015929908403,0.8447331740342493,0.6963859020310633,0.8652429311031462,0.94210473914775,0.7406909597769813,0.8179012345679012,0.7144066109119873,0.8848566308243728,0.8271604938271605
0.7999999999999999,0.9378235762644365,0.8013241736360016,0.6728395061728395,0.9104938271604939,0.78768418956591,0.9214456391875747,0.8113799283154122,0.7865890083632019,0.8623058542413381,0.6939964157706093,0.9404121863799283,0.9107427319792911,0.868478693747511,0.9342393468737555,0.6354042214257268,0.7932098765432098,0.6520310633213859,0.8688271604938271,0.9288132218239745,0.7385503783353246,0.7932098765432098,0.6489446435682995,0.8848566308243728,0.7922640382317802
0.8999999999999999,0.9430505774591796,0.8013241736360016,0.5771604938271605,0.8972023098367184,0.7160493827160495,0.8694743130227001,0.7459179609717244,0.7507467144563919,0.8542413381123058,0.641825965750697,0.941358024691358,0.904320987654321,0.8539924332935086,0.9014834727200318,0.5602349661489446,0.751194743130227,0.582536837913182,0.8111808044603743,0.9067602548785345,0.7205296694544007,0.7314814814814814,0.5754181600955794,0.8734567901234568,0.7407407407407407
0.9999999999999999,0.9601254480286738,0.7635902031063322,0.5,0.8746515332536838,0.5889088012743926,0.8787335722819594,0.674731182795699,0.7431302270011948,0.8202907208283552,0.5692453205894066,0.9064615690959777,0.8601652727996814,0.8304958183990442,0.8808243727598566,0.5,0.7314814814814814,0.5,0.819942254082039,0.8872958980485862,0.6194743130227001,0.6604938271604939,0.5,0.8395061728395061,0.7120171246515332
