Repair Level,﻿WEIGHT,STATUS,FINALDEST,FOOTINGS,LEASE,LOCATION,REGION,PIERS,SECURED,TITLED,SECTIONS,SQFT,BEDROOMS,SHIPMONTH,WGTADJ,CONTROL,jstatus,jprice,jsqft,jbedroom,jlease,jfinaldest,jtitle,jsecured,jlocation,jfootings,jpiers
0.0,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356,0.8236489717838356
0.1,0.7964849354375897,0.8219512195121952,0.8236489717838356,0.8214490674318509,0.8236489717838356,0.8202056432329029,0.8241272118603539,0.8170492587278814,0.821712099473936,0.8263510282161646,0.8194882831181253,0.8063127690100431,0.7889526542324247,0.8197274031563845,0.8074127211860354,0.8209708273553324,0.8258488761358203,0.8202295552367289,0.8229316116690579,0.8297704447632712,0.8199904351984697,0.8197513151602105,0.8207317073170732,0.8226924916307987,0.8146341463414635,0.8192730750836921,0.8226924916307987
0.2,0.7521520803443329,0.8178861788617886,0.8236489717838356,0.8187470109995217,0.8236489717838356,0.8094213295074127,0.8180057388809182,0.8128646580583453,0.8173362027737925,0.820492587278814,0.8128646580583453,0.7904351984696317,0.7483261597321855,0.8194882831181253,0.7872070779531324,0.8273075083692014,0.8166905786704926,0.8066714490674318,0.826207556193209,0.815949306551889,0.8286465805834529,0.8276661884265901,0.8252271640363462,0.8226924916307987,0.8176470588235294,0.8215447154471545,0.8163558106169297
0.30000000000000004,0.7070779531324725,0.804495456719273,0.8236489717838356,0.8197034911525586,0.8236489717838356,0.8050454328072693,0.8033715925394548,0.8112625538020086,0.8185078909612625,0.8085126733620278,0.7903873744619799,0.753299856527977,0.7029890004782401,0.8175274988043998,0.770205643232903,0.8121472979435677,0.8159253945480631,0.8086083213773314,0.8127450980392157,0.8169296987087518,0.8286704925872788,0.8086322333811573,0.8021281683405069,0.8122907699665232,0.8262314681970349,0.8114060258249641,0.822572931611669
0.4,0.6919655667144906,0.7882113821138211,0.8236489717838356,0.8094452415112386,0.8236489717838356,0.8147776183644189,0.8128885700621712,0.8156384505021521,0.8072931611669059,0.8104734576757533,0.7643950263032042,0.7545911047345768,0.6666666666666667,0.8236250597800095,0.7451458632233381,0.8158297465327594,0.8255141080822572,0.801793400286944,0.7945480631276901,0.7921329507412721,0.8167384026781443,0.8127929220468675,0.8099234815877571,0.8061932089909134,0.8038498326159732,0.8043280726924916,0.7998326159732185
0.5,0.675872788139646,0.7772596843615495,0.8236489717838356,0.8079387852702056,0.8236489717838356,0.7905786704925872,0.7945480631276901,0.814179818268771,0.7975609756097561,0.8011716881874701,0.7433285509325682,0.7422046867527499,0.6425394548063128,0.8106886657101865,0.7119799139167862,0.8097321855571497,0.802391200382592,0.7918938307030129,0.7967957914873267,0.8011716881874701,0.7921329507412721,0.8080344332855093,0.7891917742706839,0.8040172166427546,0.7992348158775706,0.799689143950263,0.7998565279770444
0.6,0.5219512195121951,0.7709230033476805,0.8236489717838356,0.6213295074127212,0.8236489717838356,0.6350071736011478,0.5492348158775706,0.5626255380200861,0.5675035868005739,0.5874940219990434,0.7378527020564323,0.6267097082735533,0.6032759445241511,0.6377331420373027,0.5172644667623147,0.6362984218077474,0.7987565758010522,0.7770205643232903,0.7857484457197513,0.7875179340028695,0.7933285509325682,0.7970109995217599,0.780726924916308,0.7829746532759445,0.7899330463892874,0.7755619320899091,0.8015542802486848
0.7,0.5036585365853659,0.738259206121473,0.8236489717838356,0.6098517455762793,0.8236489717838356,0.6215686274509804,0.5589909134385462,0.5594452415112386,0.5555475848876136,0.588235294117647,0.7099234815877571,0.5971783835485414,0.6008608321377331,0.6416547106647537,0.5111429937828791,0.6287183165949306,0.7887374461979915,0.7635820181731229,0.7958393113342899,0.7773075083692014,0.7735772357723577,0.7840985174557628,0.7556432329029172,0.7703012912482066,0.7593017694882831,0.7580583452893352,0.7974175035868005
0.7999999999999999,0.5112625538020086,0.733142037302726,0.8224294595887136,0.605714968914395,0.8236489717838356,0.6032042085126734,0.5502152080344334,0.5477522716403634,0.5596843615494979,0.5887135341941654,0.6609995217599235,0.5395265423242468,0.5884505021520803,0.6477522716403634,0.5038498326159733,0.6299378287900526,0.7811812529890005,0.7472262075561932,0.7790291726446676,0.7690578670492587,0.7853180296508847,0.7865614538498327,0.7409851745576279,0.749426111908178,0.756336681013869,0.7487326637972262,0.7650167384026781
0.8999999999999999,0.5007890961262553,0.7190339550454328,0.8236489717838356,0.6052128168340507,0.8236489717838356,0.6046150167384027,0.5443567670970828,0.5453132472501195,0.5570062171209947,0.5909134385461501,0.6291248206599713,0.49191774270683886,0.5742945958871353,0.6365136298421807,0.49873266379722625,0.6206599713055954,0.7533955045432807,0.7336681013868962,0.7568388330942133,0.7442132950741271,0.7609995217599235,0.766571018651363,0.7393113342898134,0.7567431850789097,0.7307986609277857,0.7302247728359637,0.7530607364897178
0.9999999999999999,0.5064084170253467,0.6858680057388808,0.8236489717838356,0.5995934959349594,0.8236489717838356,0.6072931611669058,0.5528933524629365,0.5501912960306073,0.5511477761836442,0.5909134385461501,0.5879483500717361,0.4585126733620277,0.5633189861310378,0.6450502152080344,0.5014108082257294,0.6206599713055954,0.7694643711142993,0.6896939263510282,0.7572692491630799,0.7461262553802008,0.7677427068388331,0.7694643711142993,0.7024390243902439,0.7403873744619799,0.719273075083692,0.7387852702056432,0.7694165471066475
