Repair Level,﻿SUBURB,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST
0.0,0.6257275902211874,0.6257275902211874,0.6257275902211874,0.6257275902211874,0.6257275902211874,0.6257275902211874,0.6257275902211874,0.6257275902211874,0.6257275902211874,0.6257275902211874,0.6257275902211874,0.6257275902211874,0.6257275902211874,0.6257275902211874,0.6257275902211874
0.1,0.6123399301513388,0.6222351571594877,0.6245634458672875,0.6024447031431898,0.590221187427241,0.5826542491268918,0.5931315483119907,0.60011641443539,0.6123399301513388,0.5942956926658906,0.6076833527357393,0.6088474970896391,0.610011641443539,0.6123399301513388,0.5838183934807916
0.2,0.6088474970896391,0.6169965075669382,0.6158323632130385,0.5844004656577415,0.5844004656577415,0.5727590221187427,0.5779976717112922,0.5937136204889406,0.6088474970896391,0.5634458672875436,0.6041909196740396,0.6024447031431898,0.610593713620489,0.6135040745052387,0.5669383003492433
0.30000000000000004,0.5925494761350407,0.6181606519208381,0.5867287543655413,0.5890570430733411,0.559953434225844,0.570430733410943,0.5570430733410943,0.5960419091967404,0.6065192083818394,0.540162980209546,0.6012805587892899,0.5931315483119907,0.580908032596042,0.5878928987194412,0.5314318975552969
0.4,0.5937136204889406,0.610593713620489,0.5454016298020955,0.5611175785797439,0.5389988358556461,0.5349243306169965,0.519208381839348,0.580325960419092,0.5867287543655413,0.5058207217694994,0.6006984866123399,0.5710128055878929,0.5715948777648429,0.5838183934807916,0.4988358556461001
0.5,0.5681024447031432,0.6024447031431898,0.44528521536670546,0.5558789289871944,0.5011641443538999,0.5151338766006985,0.4842840512223516,0.5616996507566938,0.5587892898719441,0.46565774155995343,0.5820721769499418,0.5506402793946449,0.5640279394644936,0.5547147846332945,0.4551804423748545
0.6,0.5116414435389989,0.5797438882421421,0.3742724097788126,0.440046565774156,0.3894062863795111,0.41443538998835855,0.39639115250291035,0.5477299185098953,0.529685681024447,0.3789289871944121,0.5128055878928988,0.5221187427240978,0.540745052386496,0.5064027939464494,0.3789289871944121
0.7,0.44761350407450523,0.5552968568102444,0.32188591385331783,0.3760186263096624,0.3381839348079162,0.36437718277066355,0.33643771827706637,0.5139697322467986,0.45052386495925495,0.3428405122235157,0.510477299185099,0.5168800931315483,0.529685681024447,0.4575087310826543,0.33760186263096625
0.7999999999999999,0.3742724097788126,0.5448195576251456,0.27066356228172295,0.2980209545983702,0.30267753201396974,0.31955762514551805,0.27648428405122233,0.490104772991851,0.3928987194412107,0.2852153667054715,0.4959254947613504,0.48370197904540163,0.4639115250291036,0.4080325960419092,0.3020954598370198
0.8999999999999999,0.3131548311990687,0.5168800931315483,0.25552968568102447,0.2549476135040745,0.30151338766006985,0.2852153667054715,0.2636786961583236,0.44062863795110596,0.3480791618160652,0.2660069848661234,0.47613504074505236,0.4429569266589057,0.44644935972060534,0.33236321303841676,0.2712456344586729
0.9999999999999999,0.28987194412107103,0.48952270081490107,0.25261932479627475,0.23864959254947612,0.2590221187427241,0.2561117578579744,0.2543655413271246,0.3981373690337602,0.2776484284051222,0.2561117578579744,0.46041909196740394,0.4074505238649593,0.42374854481955765,0.28754365541327126,0.2572759022118743
