Repair Level,﻿SUBURB,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST
0.0,0.6362048894062864,0.6362048894062864,0.6362048894062864,0.6362048894062864,0.6362048894062864,0.6362048894062864,0.6362048894062864,0.6362048894062864,0.6362048894062864,0.6362048894062864,0.6362048894062864,0.6362048894062864,0.6362048894062864,0.6362048894062864,0.6362048894062864
0.1,0.6222351571594877,0.6094295692665891,0.610593713620489,0.6175785797438882,0.6041909196740396,0.6117578579743889,0.6152502910360885,0.5954598370197904,0.6216530849825378,0.6140861466821886,0.6041909196740396,0.619324796274738,0.6239813736903376,0.6233993015133876,0.6018626309662398
0.2,0.5838183934807916,0.60011641443539,0.5884749708963911,0.580325960419092,0.5372526193247963,0.5733410942956927,0.5942956926658906,0.5582072176949942,0.5873108265424912,0.5454016298020955,0.5977881257275902,0.5378346915017462,0.5820721769499418,0.5925494761350407,0.5454016298020955
0.30000000000000004,0.5424912689173458,0.5669383003492433,0.5646100116414435,0.5174621653084982,0.49243306169965073,0.5064027939464494,0.5605355064027939,0.5325960419091967,0.5558789289871944,0.48370197904540163,0.5616996507566938,0.48952270081490107,0.5389988358556461,0.5576251455180442,0.509895227008149
0.4,0.48253783469150174,0.5291036088474971,0.5151338766006985,0.4417927823050058,0.4435389988358556,0.4668218859138533,0.5157159487776485,0.5064027939464494,0.49650756693830034,0.4307334109429569,0.5331781140861467,0.42724097788125726,0.4918509895227008,0.47846332945285214,0.4417927823050058
0.5,0.40046565774155995,0.49941792782305006,0.47264260768335276,0.370197904540163,0.37718277066356226,0.3987194412107101,0.4528521536670547,0.46740395809080326,0.43364377182770664,0.3917345750873108,0.5005820721769499,0.3859138533178114,0.42374854481955765,0.40162980209545984,0.389988358556461
0.6,0.3189755529685681,0.4639115250291036,0.41850989522700816,0.31548311990686845,0.34342258440046564,0.33061699650756693,0.38242142025611175,0.43538998835855647,0.3760186263096624,0.3381839348079162,0.4848661233993015,0.31257275902211873,0.39348079161816063,0.3469150174621653,0.3550640279394645
0.7,0.25378346915017463,0.4318975552968568,0.3608847497089639,0.29976717112922,0.3311990686845169,0.2951105937136205,0.3562281722933644,0.4051222351571595,0.3341094295692666,0.3137369033760186,0.46565774155995343,0.2648428405122235,0.3457508731082654,0.28463329452852154,0.32945285215366704
0.7999999999999999,0.279976717112922,0.40046565774155995,0.32363213038416766,0.2561117578579744,0.36321303841676367,0.28637951105937137,0.31024447031431895,0.3940628637951106,0.32188591385331783,0.29336437718277064,0.43131548311990686,0.25669383003492435,0.31024447031431895,0.2543655413271246,0.30034924330616997
0.8999999999999999,0.24970896391152503,0.3806752037252619,0.32537834691501744,0.24330616996507567,0.3987194412107101,0.2811408614668219,0.2549476135040745,0.3608847497089639,0.2968568102444703,0.2741559953434226,0.4080325960419092,0.24447031431897556,0.2572759022118743,0.2409778812572759,0.2759022118742724
0.9999999999999999,0.24330616996507567,0.3445867287543655,0.33876600698486614,0.2479627473806752,0.25669383003492435,0.24330616996507567,0.24155995343422584,0.3061699650756694,0.23573923166472643,0.270081490104773,0.38125727590221187,0.24970896391152503,0.24330616996507567,0.23806752037252618,0.24970896391152503
