Repair Level,﻿SUBURB,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST
0.0,0.680442374854482,0.680442374854482,0.680442374854482,0.680442374854482,0.680442374854482,0.680442374854482,0.680442374854482,0.680442374854482,0.680442374854482,0.680442374854482,0.680442374854482,0.680442374854482,0.680442374854482,0.680442374854482,0.680442374854482
0.1,0.6746216530849826,0.639697322467986,0.6583236321303841,0.6321303841676368,0.5960419091967404,0.5873108265424912,0.6135040745052387,0.6530849825378346,0.6612339930151339,0.6204889406286379,0.6618160651920838,0.6554132712456344,0.6414435389988359,0.6542491268917345,0.5814901047729919
0.2,0.6571594877764843,0.6484284051222352,0.6536670547147846,0.6012805587892899,0.5651920838183935,0.580325960419092,0.6065192083818394,0.6408614668218859,0.6379511059371362,0.5686845168800931,0.6449359720605355,0.6175785797438882,0.6140861466821886,0.6292200232828871,0.5739231664726426
0.30000000000000004,0.6408614668218859,0.610011641443539,0.6321303841676368,0.6059371362048894,0.5337601862630966,0.5576251455180442,0.5622817229336438,0.6006984866123399,0.629802095459837,0.5232828870779976,0.6059371362048894,0.5931315483119907,0.5739231664726426,0.6094295692665891,0.5291036088474971
0.4,0.6257275902211874,0.6024447031431898,0.590221187427241,0.5547147846332945,0.5069848661233993,0.5203725261932479,0.5454016298020955,0.5878928987194412,0.5937136204889406,0.5069848661233993,0.5983701979045402,0.5518044237485448,0.5483119906868452,0.5884749708963911,0.4819557625145518
0.5,0.60011641443539,0.5750873108265425,0.5611175785797439,0.529685681024447,0.4650756693830035,0.5093131548311991,0.5186263096623981,0.5785797438882422,0.5686845168800931,0.44644935972060534,0.5762514551804424,0.5005820721769499,0.4976717112922002,0.5506402793946449,0.4417927823050058
0.6,0.5366705471478463,0.5157159487776485,0.49417927823050056,0.4231664726426077,0.37252619324796277,0.39755529685681024,0.42607683352735737,0.5378346915017462,0.4918509895227008,0.3713620488940629,0.5267753201396973,0.43538998835855647,0.42491268917345754,0.48777648428405124,0.36030267753201395
0.7,0.4947613504074505,0.470314318975553,0.4563445867287544,0.3766006984866123,0.30384167636786963,0.3742724097788126,0.3480791618160652,0.5040745052386496,0.4342258440046566,0.32828870779976715,0.49534342258440045,0.3789289871944121,0.3620488940628638,0.4522700814901048,0.3149010477299185
0.7999999999999999,0.4231664726426077,0.4394644935972061,0.41734575087310827,0.31548311990686845,0.290454016298021,0.3329452852153667,0.30384167636786963,0.4610011641443539,0.38242142025611175,0.30791618160651923,0.4551804423748545,0.33643771827706637,0.2991850989522701,0.39231664726426074,0.2968568102444703
0.8999999999999999,0.3911525029103609,0.4254947613504074,0.3608847497089639,0.28987194412107103,0.2852153667054715,0.29860302677532014,0.26949941792782306,0.4348079161816065,0.3358556461001164,0.28870779976717115,0.4383003492433062,0.3032596041909197,0.3020954598370198,0.3469150174621653,0.26775320139697323
0.9999999999999999,0.3317811408614668,0.36437718277066355,0.33236321303841676,0.26542491268917345,0.26949941792782306,0.26658905704307334,0.2351571594877765,0.4022118742724098,0.2927823050058207,0.28055878928987193,0.4318975552968568,0.26542491268917345,0.26135040745052385,0.3277066356228172,0.26251455180442373
