Repair Level,﻿Gender,Age_at_diagonsis,Primary_Diagnosis,Race,IDH1,TP53,ATRX,PTEN,EGFR,CIC,MUC16,PIK3CA,NF1,PIK3R1,FUBP1,RB1,NOTCH1,BCOR,CSMD3,SMARCA4,GRIN2A,IDH2,FAT4,PDGFRA
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.1,0.9895104895104895,0.965034965034965,0.9755244755244755,0.9790209790209791,0.9895104895104895,0.9895104895104895,0.9895104895104895,0.9755244755244755,0.9790209790209791,0.972027972027972,0.9895104895104895,0.9895104895104895,0.9755244755244755,0.986013986013986,0.972027972027972,0.9755244755244755,0.9685314685314685,0.9755244755244755,0.9895104895104895,0.965034965034965,0.965034965034965,0.958041958041958,0.972027972027972,0.9790209790209791
0.2,0.9825174825174825,0.9475524475524476,0.9370629370629371,0.972027972027972,0.9755244755244755,0.9755244755244755,0.9615384615384616,0.951048951048951,0.9755244755244755,0.9440559440559441,0.986013986013986,0.965034965034965,0.9790209790209791,0.9755244755244755,0.9440559440559441,0.965034965034965,0.9370629370629371,0.9685314685314685,0.9790209790209791,0.9475524475524476,0.965034965034965,0.9195804195804196,0.9685314685314685,0.9545454545454546
0.30000000000000004,0.9790209790209791,0.9300699300699301,0.8811188811188811,0.9475524475524476,0.951048951048951,0.958041958041958,0.9405594405594405,0.9300699300699301,0.9615384615384616,0.9020979020979021,0.958041958041958,0.951048951048951,0.9475524475524476,0.9755244755244755,0.9055944055944056,0.9440559440559441,0.8951048951048951,0.951048951048951,0.965034965034965,0.9125874125874126,0.9230769230769231,0.8916083916083916,0.958041958041958,0.9265734265734266
0.4,0.9545454545454546,0.8951048951048951,0.8671328671328671,0.9370629370629371,0.9370629370629371,0.951048951048951,0.8986013986013986,0.9195804195804196,0.9475524475524476,0.8671328671328671,0.9825174825174825,0.958041958041958,0.9545454545454546,0.951048951048951,0.8426573426573427,0.916083916083916,0.8706293706293706,0.9370629370629371,0.9615384615384616,0.8881118881118881,0.8846153846153846,0.8531468531468531,0.9405594405594405,0.9055944055944056
0.5,0.9615384615384616,0.8881118881118881,0.7867132867132867,0.9405594405594405,0.9125874125874126,0.9230769230769231,0.9125874125874126,0.9195804195804196,0.916083916083916,0.8496503496503497,0.9825174825174825,0.9300699300699301,0.9125874125874126,0.9370629370629371,0.8636363636363636,0.8846153846153846,0.8391608391608392,0.9230769230769231,0.951048951048951,0.8251748251748252,0.8951048951048951,0.8181818181818182,0.9370629370629371,0.8671328671328671
0.6,0.9615384615384616,0.8811188811188811,0.7587412587412588,0.9265734265734266,0.916083916083916,0.916083916083916,0.8741258741258742,0.8671328671328671,0.9020979020979021,0.8006993006993007,0.951048951048951,0.9230769230769231,0.9125874125874126,0.9125874125874126,0.7972027972027972,0.8146853146853147,0.7902097902097902,0.8986013986013986,0.9265734265734266,0.8391608391608392,0.8251748251748252,0.7762237762237763,0.8986013986013986,0.8356643356643356
0.7,0.9405594405594405,0.8426573426573427,0.6923076923076923,0.916083916083916,0.8601398601398601,0.916083916083916,0.8566433566433567,0.8286713286713286,0.8741258741258742,0.7692307692307693,0.9335664335664335,0.916083916083916,0.8741258741258742,0.9090909090909091,0.7272727272727273,0.8356643356643356,0.7692307692307693,0.8986013986013986,0.9265734265734266,0.8076923076923077,0.7832167832167832,0.7377622377622378,0.8986013986013986,0.7972027972027972
0.7999999999999999,0.9475524475524476,0.7972027972027972,0.6118881118881119,0.8916083916083916,0.8251748251748252,0.8846153846153846,0.8181818181818182,0.7972027972027972,0.8706293706293706,0.7412587412587412,0.9265734265734266,0.8881118881118881,0.8741258741258742,0.8951048951048951,0.7027972027972028,0.7727272727272727,0.7097902097902098,0.8741258741258742,0.9335664335664335,0.7447552447552448,0.7482517482517482,0.7097902097902098,0.8671328671328671,0.7797202797202797
0.8999999999999999,0.9545454545454546,0.7797202797202797,0.534965034965035,0.8776223776223776,0.7307692307692307,0.8706293706293706,0.7867132867132867,0.6993006993006993,0.8426573426573427,0.6853146853146853,0.9230769230769231,0.9055944055944056,0.8391608391608392,0.8881118881118881,0.6223776223776224,0.7377622377622378,0.6398601398601399,0.8391608391608392,0.8846153846153846,0.7202797202797203,0.6958041958041958,0.6503496503496503,0.8426573426573427,0.7377622377622378
0.9999999999999999,0.9335664335664335,0.7412587412587412,0.43356643356643354,0.8846153846153846,0.6223776223776224,0.8671328671328671,0.7412587412587412,0.6923076923076923,0.8496503496503497,0.5874125874125874,0.9300699300699301,0.8776223776223776,0.8216783216783217,0.8741258741258742,0.5664335664335665,0.6958041958041958,0.5664335664335665,0.8391608391608392,0.8951048951048951,0.6783216783216783,0.6433566433566433,0.5664335664335665,0.8041958041958042,0.6923076923076923
