Repair Level,﻿Gender,Age_at_diagonsis,Race,IDH1,TP53,ATRX,PTEN,EGFR,CIC,MUC16,PIK3CA,NF1,PIK3R1,FUBP1,RB1,NOTCH1,BCOR,CSMD3,SMARCA4,GRIN2A,IDH2,FAT4,PDGFRA
0.0,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783,0.8681923665629783
0.1,0.8547622574433418,0.8363452328050165,0.8618229398113859,0.8458993729324051,0.8579469708191378,0.8636251419542784,0.8554535130597936,0.8465906285488569,0.8417518392336938,0.865698908803634,0.8650076531871822,0.8458993729324051,0.8618229398113859,0.8629338863378265,0.8607119932849454,0.848812521601738,0.8675011109465265,0.8625141954278379,0.8636251419542784,0.8663901644200859,0.8688836221794303,0.8618229398113859,0.8561447686762456
0.2,0.8572557152026861,0.8377277440379203,0.8483928306917494,0.8179282081666914,0.8413321483237051,0.8481212659852861,0.8281736039105317,0.8249888905347356,0.8435540413765862,0.8490840863082012,0.8618229398113859,0.854342566533353,0.8681923665629783,0.8576754061126747,0.8249888905347356,0.8513059793610823,0.8526884905939861,0.8490840863082012,0.8378758702414457,0.8377277440379203,0.8186194637831432,0.8579469708191378,0.8465906285488569
0.30000000000000004,0.8367649237150052,0.8179282081666914,0.8413321483237051,0.7988199279119144,0.8367649237150052,0.8139288006715055,0.815434750407347,0.8044980990470547,0.8178047696637536,0.8395299461808128,0.8522687996839975,0.8274823482940799,0.8625141954278379,0.8460474991359305,0.8065718658964104,0.8351108477756382,0.8583666617291266,0.8536513109169012,0.8326173900162939,0.8493556510146645,0.8090653236557547,0.8611316841949341,0.8306670616698761
0.4,0.8508862884510937,0.7783291364242335,0.8427146595566088,0.7644793363946082,0.8540710018268898,0.8125462894386017,0.7817854145064929,0.7970177257690219,0.8294326766404977,0.8427146595566088,0.8490840863082012,0.8097565792722066,0.8522687996839975,0.8027205846047499,0.7970177257690219,0.7945489557102652,0.8558732039697823,0.8522687996839975,0.7808472818841653,0.7758356786648892,0.7754159877549005,0.8586382264355898,0.8313583172863279
0.5,0.8392583814743495,0.7867723300251814,0.8388386905643608,0.7531229941243273,0.7982767984989878,0.7847232508764134,0.7665531032439639,0.7485557695156273,0.782921048733521,0.8285932948205204,0.8363452328050165,0.7828963610329334,0.8554535130597936,0.7706018861403249,0.7672443588604158,0.7840319952599615,0.824174196415346,0.8236063793018318,0.7949686466202538,0.7747247321384486,0.7378906828617983,0.865698908803634,0.8026958969041623
0.6,0.8495037772181899,0.7387300646817756,0.8427146595566088,0.7021675801115884,0.8085221942428282,0.7879079642522095,0.7244605737421617,0.7492470251320792,0.7562089566977732,0.8363452328050165,0.8331605194292204,0.761294623018812,0.8434059151730608,0.7837604305534982,0.7067348047202884,0.7826494840270577,0.8280501654075939,0.8409124574137165,0.7904014220115538,0.7588011652594677,0.7113020293289882,0.8593294820520416,0.7701575075297487
0.7,0.8431343504665976,0.70550041969091,0.8317780081963166,0.6537056238581939,0.7941292648002765,0.7671456080580654,0.6830592998568114,0.6951068977435442,0.7096973287907964,0.8447884264059645,0.8299758060534241,0.7453710561398311,0.8260998370611761,0.7985730509060386,0.6858243223226188,0.7459635609539328,0.815039747197946,0.8402212017972646,0.7862538883128425,0.7198933491334617,0.6550881350910976,0.8632054510442897,0.7453710561398311
0.7999999999999999,0.8208413568360243,0.6877746506690368,0.8292845504369724,0.6182540858144473,0.764775588801659,0.7188317780081963,0.6327951414605244,0.6890090356984151,0.7178689576852813,0.8094850145657433,0.8186194637831432,0.7089566977731694,0.8363452328050165,0.715375499925937,0.63486890830988,0.6955759640547079,0.8072878092134499,0.8186194637831432,0.6973781661976004,0.6971806645928998,0.6469165061966129,0.8632054510442897,0.7212758603663655
0.8999999999999999,0.8342714659556609,0.707154495630277,0.8299758060534241,0.5686811830346121,0.7322371994272454,0.6399298869303314,0.5895916654322816,0.6193650323408878,0.6389670666074162,0.8108675257986471,0.8186194637831432,0.6912309287512961,0.8356539771885647,0.6798005233792525,0.5916654322816373,0.706241050708537,0.7710215770503135,0.8038068434306029,0.6921196859724486,0.6890090356984151,0.5796178343949044,0.8490840863082012,0.7283365427344097
0.9999999999999999,0.8258282723547129,0.6647904014220116,0.8215326124524762,0.49612403100775193,0.7312743791043302,0.6469905692983755,0.5290821112921542,0.5711746407939564,0.6072680590529798,0.8242976349182838,0.7981286722954624,0.6901199822248556,0.8306670616698761,0.6537796869599566,0.5184170246383252,0.644225546832568,0.802029328988298,0.792450501160322,0.6798005233792525,0.6239322569495878,0.5159235668789809,0.8458993729324051,0.7106107737125364
