Repair Level,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
0.0,0.8544929672624532,0.8544929672624532,0.8544929672624532,0.8544929672624532,0.8544929672624532,0.8544929672624532,0.8544929672624532,0.8544929672624532,0.8544929672624532,0.8544929672624532,0.8544929672624532,0.8544929672624532,0.8544929672624532,0.8544929672624532
0.1,0.8509305325225723,0.8501320557705301,0.8546772311283091,0.8549843375714022,0.8558442356120631,0.8536330692217923,0.8514219028315214,0.8534488053559364,0.8546772311283091,0.8527731711811314,0.8473680977826915,0.8492721577298692,0.8524660647380382,0.8522818008721823
0.2,0.8267919660954487,0.8240280081076101,0.8527117498925127,0.842577237270438,0.8389533812419384,0.8500092131932928,0.8293716602174314,0.8527731711811314,0.85418586081936,0.8491493151526319,0.841041705054972,0.8392604876850316,0.8455254591241325,0.8487193661323015
0.30000000000000004,0.8083041582212395,0.805355936367545,0.8508691112339537,0.8395061728395061,0.835145261347583,0.8433142927338616,0.8170259812050856,0.8494564215957251,0.8523432221608009,0.847122412628217,0.8359437380996253,0.8258706467661692,0.839690436705362,0.8449726675265647
0.4,0.7923960444690129,0.7943615257048093,0.8462010932989374,0.8276518641361096,0.8242736932620847,0.8367422148516676,0.8043117744610282,0.8463853571647934,0.8517290092746146,0.8440513481972852,0.8280203918678214,0.8181929856888398,0.8321970394938886,0.8399361218598366
0.5,0.7655549413426693,0.7732940237086174,0.8352681039248203,0.8240894293962288,0.8158589767213316,0.8317670904735581,0.7857625452982003,0.8447884036607088,0.8509305325225723,0.8436828204655734,0.8177630366685094,0.8076285240464345,0.82808181315644,0.8376021128923284
0.6,0.7541305816596032,0.7651864136109575,0.8317670904735581,0.8220625268718138,0.8087341072415699,0.8181315644002212,0.7793747312818623,0.8398747005712179,0.8479208893802592,0.8377249554695657,0.8040660893065537,0.7974325901357411,0.8182544069774584,0.8356980529451508
0.7,0.7372397272894785,0.7510595172286715,0.8293716602174314,0.8181929856888398,0.8051716725016891,0.8124808058473066,0.7648793071678643,0.8335483078434985,0.8462010932989374,0.8317670904735581,0.7950371598796143,0.7904305632332166,0.809225477550519,0.8309686137215159
0.7999999999999999,0.7050549720533137,0.7383453104846139,0.821693999140102,0.8057858853878754,0.7952828450340889,0.8010564461642405,0.7518579939807137,0.8277747067133469,0.843928505620048,0.827590442847491,0.7858853878754376,0.7768564584484983,0.8040660893065537,0.8295559240832873
0.8999999999999999,0.6594189546096677,0.7148823782322953,0.8146305509489589,0.7978011178674529,0.7907376696763098,0.7830600085989804,0.7400651065659357,0.8173945089367975,0.8431300288680057,0.8217554204287206,0.7726798108224311,0.7664148393833302,0.7896320864811743,0.8244579571279406
0.9999999999999999,0.6316565321540446,0.6909280756710275,0.808549843375714,0.7817701615379891,0.7709600147411093,0.7683803206191266,0.7180148639518457,0.8039432467293164,0.8396290154167434,0.8139549167741539,0.7637737239727289,0.7608255021190344,0.7780234629322523,0.8116209078066458
