Repair Level,﻿height,weight,shootCatch,pos,birthCountry,MarjorAwards,AllStarTeams,TotalPts,TotalGoals,TotalPtsPost,TotalGoalsPost,TotalGWG,TotalGWGPost
0.0,0.9791073124406457,0.9791073124406457,0.9791073124406457,0.9791073124406457,0.9791073124406457,0.9791073124406457,0.9791073124406457,0.9791073124406457,0.9791073124406457,0.9791073124406457,0.9791073124406457,0.9791073124406457,0.9791073124406457
0.1,0.9781576448243114,0.9781576448243114,0.9791073124406457,0.9776828110161444,0.9781576448243114,0.9776828110161444,0.976258309591643,0.9776828110161444,0.9776828110161444,0.9786324786324786,0.9781576448243114,0.9776828110161444,0.9781576448243114
0.2,0.9781576448243114,0.9772079772079773,0.9791073124406457,0.9781576448243114,0.9772079772079773,0.9767331433998101,0.9781576448243114,0.9772079772079773,0.9772079772079773,0.9776828110161444,0.9776828110161444,0.9786324786324786,0.9776828110161444
0.30000000000000004,0.976258309591643,0.9757834757834758,0.98005698005698,0.9757834757834758,0.9757834757834758,0.9772079772079773,0.9781576448243114,0.976258309591643,0.9767331433998101,0.9767331433998101,0.9767331433998101,0.9772079772079773,0.9767331433998101
0.4,0.9738841405508072,0.9729344729344729,0.98005698005698,0.9738841405508072,0.97340930674264,0.9781576448243114,0.9767331433998101,0.9757834757834758,0.976258309591643,0.9767331433998101,0.9753086419753086,0.976258309591643,0.9753086419753086
0.5,0.9729344729344729,0.9729344729344729,0.98005698005698,0.9738841405508072,0.97340930674264,0.976258309591643,0.9748338081671415,0.9729344729344729,0.9738841405508072,0.9743589743589743,0.9729344729344729,0.97340930674264,0.9743589743589743
0.6,0.9724596391263058,0.9738841405508072,0.98005698005698,0.9729344729344729,0.97340930674264,0.9753086419753086,0.9757834757834758,0.9729344729344729,0.9729344729344729,0.9724596391263058,0.9729344729344729,0.9757834757834758,0.9743589743589743
0.7,0.9719848053181387,0.9724596391263058,0.98005698005698,0.9724596391263058,0.9724596391263058,0.97340930674264,0.9753086419753086,0.9719848053181387,0.9719848053181387,0.9715099715099715,0.9719848053181387,0.9748338081671415,0.97340930674264
0.7999999999999999,0.9715099715099715,0.9715099715099715,0.9781576448243114,0.9715099715099715,0.9715099715099715,0.9729344729344729,0.9748338081671415,0.9715099715099715,0.9715099715099715,0.9715099715099715,0.9715099715099715,0.97340930674264,0.9719848053181387
0.8999999999999999,0.9715099715099715,0.9715099715099715,0.9795821462488129,0.9715099715099715,0.9715099715099715,0.9724596391263058,0.9724596391263058,0.9715099715099715,0.9715099715099715,0.9715099715099715,0.9715099715099715,0.9715099715099715,0.9715099715099715
0.9999999999999999,0.9715099715099715,0.9715099715099715,0.9795821462488129,0.9715099715099715,0.9715099715099715,0.9715099715099715,0.9715099715099715,0.9715099715099715,0.9715099715099715,0.9715099715099715,0.9715099715099715,0.9715099715099715,0.9715099715099715
