Repair Level,﻿height,weight,shootCatch,pos,birthCountry,MarjorAwards,AllStarTeams,TotalPts,TotalGoals,TotalPtsPost,TotalGoalsPost,TotalGWG,TotalGWGPost
0.0,0.7223118279569892,0.7223118279569892,0.7223118279569892,0.7223118279569892,0.7223118279569892,0.7223118279569892,0.7223118279569892,0.7223118279569892,0.7223118279569892,0.7223118279569892,0.7223118279569892,0.7223118279569892,0.7223118279569892
0.1,0.6975562072336265,0.6975562072336265,0.7223118279569892,0.6973118279569892,0.6975562072336265,0.6973118279569892,0.6723118279569893,0.6973118279569892,0.6973118279569892,0.7058895405669598,0.7056451612903225,0.7377565982404692,0.7137341153470186
0.2,0.6571114369501466,0.6323558162267839,0.7223118279569892,0.6571114369501466,0.6404447702834799,0.6806451612903226,0.6894672531769306,0.648533724340176,0.648533724340176,0.6649560117302054,0.6649560117302054,0.7139784946236559,0.6649560117302054
0.30000000000000004,0.5995112414467253,0.591177908113392,0.73088954056696,0.599266862170088,0.591177908113392,0.6808895405669599,0.6652003910068427,0.6237781036168133,0.6159335288367547,0.6159335288367547,0.6240224828934506,0.6808895405669599,0.6402003910068426
0.4,0.5659335288367546,0.5411779081133921,0.73088954056696,0.5659335288367546,0.5576001955034213,0.6894672531769306,0.6563782991202346,0.607355816226784,0.5995112414467253,0.6078445747800587,0.5747556207233626,0.6399560117302052,0.6071114369501467
0.5,0.5411779081133921,0.533088954056696,0.73088954056696,0.5497556207233627,0.5414222873900294,0.6399560117302052,0.6068670576735093,0.557355816226784,0.5497556207233627,0.5742668621700879,0.533088954056696,0.5899560117302053,0.5823558162267839
0.6,0.5247556207233627,0.5416666666666667,0.6985337243401759,0.533088954056696,0.5414222873900294,0.5909335288367547,0.599266862170088,0.533088954056696,0.525,0.5328445747800586,0.525,0.607355816226784,0.558088954056696
0.7,0.5164222873900293,0.5166666666666666,0.6985337243401759,0.5166666666666666,0.5166666666666666,0.5656891495601173,0.5828445747800586,0.5164222873900293,0.5083333333333333,0.5161779081133919,0.5083333333333333,0.5745112414467253,0.5414222873900294
0.7999999999999999,0.5,0.5,0.6652003910068427,0.5,0.5,0.549266862170088,0.5745112414467253,0.5,0.5,0.5,0.5,0.5495112414467254,0.5083333333333333
0.8999999999999999,0.5,0.5,0.6821114369501466,0.5,0.5,0.5247556207233627,0.5247556207233627,0.5,0.5,0.5,0.5,0.5,0.5
0.9999999999999999,0.5,0.5,0.6821114369501466,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
