Repair Level,﻿WEIGHT,STATUS,FINALDEST,FOOTINGS,LEASE,LOCATION,REGION,PIERS,SECURED,TITLED,SECTIONS,SQFT,BEDROOMS,SHIPMONTH,WGTADJ,CONTROL,jstatus,jprice,jsqft,jbedroom,jlease,jfinaldest,jtitle,jsecured,jlocation,jfootings,jpiers
0.0,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588,0.8184122429459588
0.1,0.7496652319464371,0.8032759445241511,0.8184122429459588,0.8118364418938306,0.8184122429459588,0.7905308464849354,0.8020325203252032,0.8047345767575322,0.8127929220468675,0.8164514586322333,0.802725968436155,0.7820181731229077,0.7557627929220468,0.8098278335724534,0.7661166905786705,0.8137972262075561,0.8130320420851267,0.8101147776183644,0.8125538020086083,0.8142515542802486,0.8125538020086083,0.8110951697752271,0.8130320420851267,0.8118125298900047,0.810832137733142,0.8098756575801052,0.8071736011477761
0.2,0.6875179340028694,0.7830463892874223,0.8184122429459588,0.797871831659493,0.8184122429459588,0.7902678144428503,0.7932089909134385,0.787637494021999,0.7944763271162123,0.8127929220468675,0.739765662362506,0.7566953610712578,0.6958153993304639,0.812027737924438,0.7442372070779532,0.7935676709708274,0.7910808225729316,0.7671688187470109,0.7898613103778096,0.7871831659493065,0.7879005260640841,0.7891200382592061,0.7891200382592061,0.796676231468197,0.7893591582974653,0.7844811095169775,0.7949784791965566
0.30000000000000004,0.6675274988043998,0.7742706838833094,0.8184122429459588,0.7755858440937351,0.8184122429459588,0.7767336202773792,0.7756336681013869,0.7871353419416547,0.7786226685796269,0.8076518412242946,0.7086561453849833,0.7772357723577236,0.6941415590626494,0.7980392156862746,0.7181731229076997,0.7776661884265902,0.7893591582974653,0.7693687230989957,0.7859397417503586,0.7901004304160688,0.7922764227642276,0.7876614060258249,0.7837876614060258,0.7847202295552367,0.7893830703012912,0.7869679579148733,0.7817790530846485
0.4,0.6526303204208512,0.7496413199426112,0.8184122429459588,0.7780487804878049,0.8184122429459588,0.7606169296987088,0.7785509325681492,0.787350549976088,0.7835007173601147,0.8039933046389287,0.6954328072692492,0.7277857484457197,0.6589909134385461,0.7948589191774271,0.6994500239120038,0.7776901004304161,0.7776183644189383,0.7634863701578192,0.7825442372070779,0.7886657101865135,0.7829985652797704,0.782520325203252,0.7742228598756575,0.7849832615973218,0.7894069823051172,0.7720468675274987,0.7827594452415112
0.5,0.646054519368723,0.7523194643711143,0.8184122429459588,0.7726446676231469,0.8184122429459588,0.7551649928263988,0.7663558106169297,0.7704686752749881,0.7788617886178861,0.8081539933046389,0.672883787661406,0.6956001912960306,0.6275466284074606,0.7870396939263511,0.6892874222859875,0.76987087517934,0.7769488283118126,0.7549736967957914,0.7815638450502151,0.7803682448589192,0.776183644189383,0.7718077474892396,0.7681252989000478,0.7815399330463892,0.7681731229076997,0.7720229555236728,0.7705404112864658
0.6,0.6440219990435199,0.7564801530368245,0.8184122429459588,0.7690578670492587,0.8184122429459588,0.7390004782400765,0.7416068866571018,0.7848397895743664,0.757532281205165,0.7627929220468675,0.6794595887135342,0.599402199904352,0.6074844571975131,0.7733859397417504,0.6017934002869441,0.7499043519846963,0.7827833572453371,0.7410569105691057,0.7971783835485413,0.7776183644189383,0.7830224772835963,0.7771640363462458,0.756001912960306,0.7732424677187948,0.7742467718794835,0.7559780009564802,0.7710186513629842
0.7,0.6043041606886657,0.7140124342419895,0.8184122429459588,0.7666188426590148,0.8184122429459588,0.7288857006217121,0.7393591582974653,0.7703969392635103,0.7633907221425156,0.7652319464371115,0.6743424198947872,0.5718316594930655,0.6018651362984218,0.7738880918220947,0.5481826877092301,0.753299856527977,0.7796030607364897,0.7220229555236729,0.7633668101386897,0.7714012434241989,0.7747250119560019,0.7684122429459589,0.7477522716403635,0.7827594452415112,0.7538498326159733,0.7528455284552846,0.7783357245337159
0.7999999999999999,0.5589909134385462,0.7013390722142516,0.8184122429459588,0.7350071736011478,0.8184122429459588,0.7215686274509804,0.7197991391678622,0.7591582974653276,0.7254184600669535,0.7333094213295075,0.6535389765662363,0.5435676709708274,0.5838115734098518,0.7714012434241989,0.5321138211382114,0.7127690100430416,0.7756814921090387,0.7196078431372549,0.7716403634624581,0.7765423242467719,0.7793639406982305,0.7691296030607365,0.7438307030129125,0.7649689143950262,0.7396700143472024,0.7496891439502631,0.7617647058823529
0.8999999999999999,0.501219512195122,0.6913438546150168,0.8184122429459588,0.7013868962219034,0.8184122429459588,0.6884983261597322,0.716571018651363,0.7329985652797705,0.7115255858440938,0.7019368723098995,0.6246054519368723,0.505428024868484,0.5823290291726446,0.7655428024868485,0.506049736967958,0.71987087517934,0.7664992826398852,0.6869918699186992,0.776805356288857,0.7616690578670493,0.7528694404591105,0.7518890483022478,0.749713055954089,0.7608321377331421,0.749713055954089,0.7394069823051171,0.7571018651362984
0.9999999999999999,0.5,0.6657340985174558,0.8184122429459588,0.7031085604973697,0.8184122429459588,0.6646102343376374,0.716571018651363,0.7242228598756576,0.6986131037780966,0.7092778574844572,0.6025585844093735,0.5,0.5798900047824007,0.7802486848397896,0.4975131516021043,0.710832137733142,0.7735294117647059,0.6757771401243424,0.765088474414156,0.7631276901004305,0.75181731229077,0.7484457197513151,0.7138211382113822,0.7462936394069823,0.7230511716881874,0.7384265901482544,0.7498087039693926
